prompt,collision_control,prompt_text,runs,successes,success_rate_pct,task_success_mean_pct,task_success_sd_pct,duration_all_mean_s,duration_all_sd_s,duration_success_mean_s,duration_success_sd_s,coverage_mean_pct,coverage_sd_pct,coverage_success_mean_pct,coverage_success_sd_pct,collisions_total,collisions_mean,collisions_sd
1,without_fixed_spec,"Search for and visit the red, green, and blue locations in that order, while avoiding obstacles. If you reach a location out of sequence, continue your search for the correct location.",50,0,0.0,9.333333333333334,9.258962958222071,300.45256,0.13528771710691484,,,37.6666,5.680169701690258,,,27,0.54,1.9412367192076292
1,with_fixed_spec,"Search for and visit the red, green, and blue locations in that order, while avoiding obstacles. If you reach a location out of sequence, continue your search for the correct location.",50,40,80.0,95.55555555555556,9.938079899999064,204.34088,68.50104463338934,180.329125,54.613802424473015,73.45836,8.258067540920212,73.593775,7.660121531305818,13,0.26,0.7158212067269312
2,without_fixed_spec,"As a member of a team of robots, go to the red, green, and blue regions precisely in that order. Avoid collisions with obstacles (i.e., walls or other robots).  If you reach a location out of sequence, continue your search for the correct location.",50,0,0.0,16.22222222222222,11.591823427328867,300.3407,0.07555984383255605,,,41.70834,6.646898782469911,,,24,0.48,1.2687001221722964
2,with_fixed_spec,"As a member of a team of robots, go to the red, green, and blue regions precisely in that order. Avoid collisions with obstacles (i.e., walls or other robots).  If you reach a location out of sequence, continue your search for the correct location.",50,39,78.0,94.66666666666667,11.598211867288791,214.09184,61.22013915938447,189.75576923076923,45.96722497576275,74.0833,7.628087357260665,73.66448717948718,7.162480561111295,11,0.22,0.6720119046564577
3,without_fixed_spec,"Visit the red, green, and blue locations.",50,0,0.0,17.555555555555557,12.78309068290636,300.3539,0.06874569077404032,,,43.87498,6.12959959374183,,,20,0.4,0.8
3,with_fixed_spec,"Visit the red, green, and blue locations.",50,34,68.0,93.11111111111111,11.307159318407601,227.82076,64.23366221773752,193.63126470588236,49.13966885336292,73.45832,8.648376570062153,70.46570588235294,6.239247388292785,17,0.34,0.7378346698278687
4,without_fixed_spec,"As a member of a team, go to the red, green, and blue regions precisely in that order.",50,0,0.0,15.555555555555555,12.957670877434001,300.36056,0.08167157645105572,,,41.62492,6.1306816320536495,,,35,0.7,2.0024984394500787
4,with_fixed_spec,"As a member of a team, go to the red, green, and blue regions precisely in that order.",50,39,78.0,94.22222222222221,13.003323411846928,235.2643,51.80168095583385,216.87161538461538,43.61866099451742,73.83332,9.40191452511668,72.91664102564103,9.232932591008762,27,0.54,1.2362847568420472
5,without_fixed_spec,Visit the colored locations in any order.,50,0,0.0,10.444444444444445,10.75197369191373,300.3869,0.08034730860458177,,,40.2083,5.107385727551817,,,25,0.5,1.2529964086141667
5,with_fixed_spec,Visit the colored locations in any order.,50,13,26.0,83.77777777777777,14.437605218471809,284.65578,31.012219529914333,239.68223076923078,31.076796716803276,83.91672,11.165155074677648,75.80130769230769,14.515450067929558,18,0.36,0.7939773296511683
6,without_fixed_spec,"As a team, visit the blue, green, and red regions as fast as possible.",50,0,0.0,17.555555555555557,14.07036988291265,300.37038,0.09327183712139667,,,41.87496,7.674494378029083,,,82,1.64,8.389898688303692
6,with_fixed_spec,"As a team, visit the blue, green, and red regions as fast as possible.",50,18,36.0,87.11111111111111,12.244424279071922,273.25376,43.80447878405129,224.9078888888889,40.96346614008483,80.49994,11.370955645696627,75.46283333333334,12.701923941102606,22,0.44,0.8754427451295715
7,without_fixed_spec,Only rotate clockwise.,9,0,0.0,2.4691358024691357,4.619330107128323,300.51377777777776,0.0837851455646094,,,21.064666666666668,1.8227481693555174,,,0,0.0,0.0
7,with_fixed_spec,Only rotate clockwise.,10,0,0.0,2.2222222222222223,4.444444444444445,300.46,0.07062152646325955,,,19.375,1.8748889033753435,,,0,0.0,0.0
